的	225699751
一	88108808
是	87180069
不	72554280
了	70067068
有	57699274
我	57457909
在	55425152
人	53572014
个	40639188
这	40326648
大	37448897
上	33991878
来	32811313
中	32518084
为	31892706
他	30794231
到	29229857
就	28174423
时	27813584
你	27360901
以	26702554
要	26176688
会	25447547
和	25142413
年	24147100
说	24073518
也	23557430
出	23223763
国	23059511
可	23001321
能	22584599
么	22566155
们	22483922
下	22229790
生	22170469
后	21230467
自	20993749
子	20612954
地	20411510
对	20406418
多	19982389
好	19973143
过	19867900
都	18685403
看	18633518
家	18560723
道	18402142
发	18367298
学	18129423
得	17706820
用	17264250
着	17235220
小	17099879
天	17058533
还	17020785
没	16951371
行	16942690
于	16768423
那	16727028
成	16236225
现	15946498
里	15735150
心	15497161
如	15368430
方	15204164
然	15040975
之	14734996
经	14723874
而	14592230
业	14545737
去	14497560
开	14444392
公	14334041
面	14306329
分	14177519
作	14055354
很	13893354
日	13835130
前	13814711
动	13576738
想	13489568
事	13342472
点	13058297
本	13012107
高	12866056
体	12613459
最	12591290
起	12293322
她	12231573
理	11924277
手	11906074
所	11881603
样	11722546
主	11668888
什	11640837
力	11604966
但	11441235
实	11431755
法	11388531
长	11348279
同	11233639
情	11189278
月	11090003
新	11043132
些	10993605
其	10975527
只	10887972
定	10878475
己	10828565
进	10809960
问	10605807
间	10531665
当	10522951
市	10431627
者	10361582
全	10257706
机	10257539
身	10091148
无	10084486
意	10066600
知	10008753
关	10000590
等	9993875
工	9914381
部	9893118
车	9798789
与	9779526
因	9688236
种	9684722
比	9645634
女	9411942
金	9400026
美	9336306
从	9332932
三	9329403
将	8995359
明	8975342
被	8937161
果	8885829
电	8848611
重	8800191
回	8786773
外	8783293
内	8728835
性	8715412
次	8713326
合	8691130
第	8679550
老	8676614
场	8672756
加	8664347
已	8647906
头	8610699
两	8546928
资	8533942
文	8449174
做	8371444
正	8321083
入	8279794
产	8222318
平	8210389
度	8197987
感	8177698
位	8123481
相	8115770
名	8108874
题	7976752
话	7917694
更	7871812
信	7845890
通	7845064
真	7839486
此	7801380
让	7735909
水	7680749
给	7520085
化	7501353
